guideline_id,guideline_text,asp_rule_id,asp_rule_text,asp_rule_index,total_asp_rules,rating,comment
1.1.15,"People with inherited high risk of pancreatic cancer

Consider surveillance for pancreatic cancer for people with:
• 2 or more first-degree relatives with pancreatic cancer, across 2 or more generations
• Lynch syndrome (mismatch repair gene [MLH1, MSH2, MSH6 or PMS2] mutations) and any first-degree relatives with pancreatic cancer.",1.1.15,"consider(""surveillance"", ""pancreatic cancer"") :- first_degree_relative(""pancreatic cancer"", X), first_degree_relative(""pancreatic cancer"", Y), X!=Y",0,2,1,
1.1.15,"People with inherited high risk of pancreatic cancer

Consider surveillance for pancreatic cancer for people with:
• 2 or more first-degree relatives with pancreatic cancer, across 2 or more generations
• Lynch syndrome (mismatch repair gene [MLH1, MSH2, MSH6 or PMS2] mutations) and any first-degree relatives with pancreatic cancer.",1.1.15_B,"consider(""surveillance"", ""pancreatic cancer"") :- 1{have(""MLH1""); have(""MSH2""); have(""MSH6""); have(""PMS2"")}4, first_degree_relative(""pancreatic cancer"", _)",1,2,1,
1.1.16,"People with inherited high risk of pancreatic cancer

Consider an MRI/MRCP or EUS for pancreatic cancer surveillance in people without hereditary pancreatitis",1.1.16,"consider(""MRI/MRCP"") :- need(""surveillance""), not have(""hereditary pancreatitis"")",0,2,1,
1.1.16,"People with inherited high risk of pancreatic cancer

Consider an MRI/MRCP or EUS for pancreatic cancer surveillance in people without hereditary pancreatitis",1.1.16_B,"consider(""EUS"") :- need(""surveillance""), not have(""hereditary pancreatitis"")",1,2,1,
1.1.17,"People with inherited high risk of pancreatic cancer

Consider a pancreatic protocol CT scan for pancreatic cancer surveillance in people with hereditary pancreatitis and a PRSS1 mutation",1.1.17,"consider(""pancreatic protocol CT"") :- need(""surveillance""), have(""hereditary pancreatitis""), have(""PRSS1"")",0,1,1,
1.1.18,"People with inherited high risk of pancreatic cancer

Do not offer EUS to detect pancreatic cancer in people with hereditary pancreatitis",1.1.18,":- offer(""EUS""), have(""hereditary pancreatitis""), need(""detect pancreatic cancer"")",0,1,1,
1.2.4,"Pancreatic cancer

Refer people using a suspected cancer pathway referral for pancreatic cancer if they are aged 40 and over and have jaundice",1.2.4,"refer(""suspected cancer pathway"", ""pancreatic cancer"") :- age(X), have(""jaundice""), X>=40",0,1,1,
1.2.5,"Pancreatic cancer

Consider an urgent, direct access CT scan (to be done within 2 weeks), or an urgent ultrasound scan if CT is not available, to assess for pancreatic cancer in people aged 60 and over with weight loss and any of the following:
•	diarrhoea
•   back pain
•   abdominal pain
•   nausea
•   vomiting
•   constipation
•   new-onset diabetes.",1.2.5,"consider(""CT scan"") :- age(X), have(""weight loss""), 1{have(""diarrhoea""); have(""back pain""); have(""abdominal pain""); have(""nausea""); have(""vomiting""); have(""constipation""); have(""new-onset diabetes"")}7, X>=60",0,2,3,no urgent
1.2.5,"Pancreatic cancer

Consider an urgent, direct access CT scan (to be done within 2 weeks), or an urgent ultrasound scan if CT is not available, to assess for pancreatic cancer in people aged 60 and over with weight loss and any of the following:
•	diarrhoea
•   back pain
•   abdominal pain
•   nausea
•   vomiting
•   constipation
•   new-onset diabetes.",1.2.5_B,"consider(""ultrasound"") :- age(X), have(""weight loss""), 1{have(""diarrhoea""); have(""back pain""); have(""abdominal pain""); have(""nausea""); have(""vomiting""); have(""constipation""); have(""new-onset diabetes"")}7, X>=60, not available(""CT scan"")",1,2,3,no urgent
1.3.1,"For people with newly diagnosed pancreatic cancer who have not had a pancreatic protocol CT scan, offer a pancreatic protocol CT scan that includes the chest, abdomen and pelvis",1.3.1,"offer(""pancreatic protocol CT"") :- have(""pancreatic cancer""), not offered(""pancreatic protocol CT"")",0,1,3,"no chest, abdo, pelvis"
1.3.2,"Offer fluorodeoxyglucose-positron emission tomography/CT (FDG-PET/CT) to people with localised disease on CT who will be having cancer treatment (surgery, radiotherapy or systemic therapy)",1.3.2,"offer(""FDG-PET/CT"") :- have(""localised disease""), have(""pancreatic cancer"")",0,1,3,no treatment or ct mention
1.3.3,"If more information is needed to decide the person's clinical management, consider one or more of the following:
• MRI, for suspected liver metastases
• endoscopic ultrasound, if more information is needed for tumour and node staging
• laparoscopy with laparoscopic ultrasound, for suspected small-volume peritoneal and/or liver metastases if resectional surgery is a possibility.",1.3.3,"consider(""MRI"") :- suspected(""liver metastases""), need(""more information"")",0,5,1,
1.3.3,"If more information is needed to decide the person's clinical management, consider one or more of the following:
• MRI, for suspected liver metastases
• endoscopic ultrasound, if more information is needed for tumour and node staging
• laparoscopy with laparoscopic ultrasound, for suspected small-volume peritoneal and/or liver metastases if resectional surgery is a possibility.",1.3.3_B,"consider(""EUS"") :- need(""more information on tumor staging"")",1,5,1,
1.3.3,"If more information is needed to decide the person's clinical management, consider one or more of the following:
• MRI, for suspected liver metastases
• endoscopic ultrasound, if more information is needed for tumour and node staging
• laparoscopy with laparoscopic ultrasound, for suspected small-volume peritoneal and/or liver metastases if resectional surgery is a possibility.",1.3.3_C,"consider(""EUS"") :- need(""more information on node staging"")",2,5,1,
1.3.3,"If more information is needed to decide the person's clinical management, consider one or more of the following:
• MRI, for suspected liver metastases
• endoscopic ultrasound, if more information is needed for tumour and node staging
• laparoscopy with laparoscopic ultrasound, for suspected small-volume peritoneal and/or liver metastases if resectional surgery is a possibility.",1.3.3_D,"consider(""laparoscopy"", ""laparoscopic ultrasound"") :- suspected(""peritoneal metastases""), possibility(""resectional surgery"")",3,5,1,
1.3.3,"If more information is needed to decide the person's clinical management, consider one or more of the following:
• MRI, for suspected liver metastases
• endoscopic ultrasound, if more information is needed for tumour and node staging
• laparoscopy with laparoscopic ultrasound, for suspected small-volume peritoneal and/or liver metastases if resectional surgery is a possibility.",1.3.3_E,"consider(""laparoscopy"", ""laparoscopic ultrasound"") :- suspected(""liver metastases""), possibility(""resectional surgery"")",4,5,1,
1.13.2,"For people with unexplained weight loss, which is a symptom of several cancers including colorectal, gastro-oesophageal, lung, prostate, pancreatic and urological cancer:
•	carry out an assessment for additional symptoms, signs or findings that may help to clarify which cancer is most likely and
•	offer urgent investigation or a suspected cancer pathway referral.",1.13.2,"offer(""urgent investigation"") :- have(""unexplained weight loss"")",0,2,1,
1.13.2,"For people with unexplained weight loss, which is a symptom of several cancers including colorectal, gastro-oesophageal, lung, prostate, pancreatic and urological cancer:
•	carry out an assessment for additional symptoms, signs or findings that may help to clarify which cancer is most likely and
•	offer urgent investigation or a suspected cancer pathway referral.",1.13.2_B,"refer(""suspected cancer pathway"", ""cancer"") :- have(""unexplained weight loss"")",1,2,1,
1.13.2,"For people with unexplained weight loss, which is a symptom of several cancers including colorectal, gastro-oesophageal, lung, prostate, pancreatic and urological cancer:
•	carry out an assessment for additional symptoms, signs or findings that may help to clarify which cancer is most likely and
•	offer urgent investigation or a suspected cancer pathway referral.",1.13.2_B,"refer(""suspected cancer pathway"", ""cancer"") :- have(""unexplained weight loss"")",1,2,0,first rule missed
1.13.3,"For people with unexplained appetite loss, which is a symptom of several cancers including lung, oesophageal, stomach, colorectal, pancreatic, bladder and renal cancer:
•	carry out an assessment for additional symptoms, signs or findings that may help to clarify which cancer is most likely and
•	offer urgent investigation or a suspected cancer pathway referral.",1.13.3,"offer(""urgent investigation"") :- have(""unexplained appetite loss"")",0,2,1,
1.13.3,"For people with unexplained appetite loss, which is a symptom of several cancers including lung, oesophageal, stomach, colorectal, pancreatic, bladder and renal cancer:
•	carry out an assessment for additional symptoms, signs or findings that may help to clarify which cancer is most likely and
•	offer urgent investigation or a suspected cancer pathway referral.",1.13.3_B,"refer(""suspected cancer pathway"", ""cancer"") :- have(""unexplained appetite loss"")",1,2,1,
1.13.3,"For people with unexplained appetite loss, which is a symptom of several cancers including lung, oesophageal, stomach, colorectal, pancreatic, bladder and renal cancer:
•	carry out an assessment for additional symptoms, signs or findings that may help to clarify which cancer is most likely and
•	offer urgent investigation or a suspected cancer pathway referral.",1.13.3_B,"refer(""suspected cancer pathway"", ""cancer"") :- have(""unexplained appetite loss"")",1,2,0,first rule missed
